step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
279,CASH_OUT,397041.71,C1593148016,0.0,0.0,C524930455,820173.33,1217215.04,0,0
158,PAYMENT,33157.59,C1246527625,0.0,0.0,M422598785,0.0,0.0,0,0
21,PAYMENT,15610.46,C1601415033,108.0,0.0,M1466786973,0.0,0.0,0,0
189,PAYMENT,3005.02,C240816972,0.0,0.0,M1201715988,0.0,0.0,0,0
131,CASH_OUT,338178.78,C1567094741,60020.0,0.0,C1755056836,25730.12,419558.18,0,0
571,PAYMENT,3048.58,C592480819,4504.0,1455.42,M55743469,0.0,0.0,0,0
186,PAYMENT,8524.78,C188844654,0.0,0.0,M1420775008,0.0,0.0,0,0
131,TRANSFER,596126.4,C8746443,0.0,0.0,C1924600726,1439062.92,2035189.32,0,0
236,PAYMENT,31432.48,C58935560,23825.0,0.0,M1166436206,0.0,0.0,0,0
331,CASH_IN,191491.53,C368388568,19214.0,210705.53,C2016944869,404921.8,213430.27,0,0
135,PAYMENT,7441.2,C1941183514,0.0,0.0,M1231091571,0.0,0.0,0,0
186,TRANSFER,148769.37,C718414854,0.0,0.0,C495641626,1678780.84,1827550.21,0,0
133,CASH_OUT,398164.19,C1265710789,30597.0,0.0,C1416312719,61864.0,382572.19,0,0
18,CASH_OUT,110529.43,C173390486,525.0,0.0,C1482476379,51287.0,0.0,0,0
205,CASH_OUT,209132.51,C615521357,0.0,0.0,C1670235108,741748.83,950881.34,0,0
1,PAYMENT,7413.54,C1470868839,297689.58,290276.03,M1426725223,0.0,0.0,0,0
15,PAYMENT,17748.22,C521240020,201993.0,184244.78,M1417735603,0.0,0.0,0,0
46,TRANSFER,460202.13,C2055247411,0.0,0.0,C502369371,2659241.98,3119444.11,0,0
18,PAYMENT,5349.59,C1952973462,26624.0,21274.41,M1204067422,0.0,0.0,0,0
38,CASH_OUT,41457.9,C1379497242,0.0,0.0,C555984113,1430936.56,1472394.46,0,0
373,PAYMENT,26026.67,C2050877590,9867.0,0.0,M196475819,0.0,0.0,0,0
162,PAYMENT,11595.41,C874851505,9225.0,0.0,M1543816460,0.0,0.0,0,0
34,PAYMENT,7398.98,C1156413614,0.0,0.0,M674928173,0.0,0.0,0,0
140,CASH_OUT,113881.33,C1406857952,0.0,0.0,C153711574,1650053.45,1763934.78,0,0
234,PAYMENT,37190.01,C1367417486,19026.0,0.0,M1076327057,0.0,0.0,0,0
36,PAYMENT,2650.35,C1377217597,0.0,0.0,M1398528528,0.0,0.0,0,0
346,PAYMENT,22268.58,C218960604,0.0,0.0,M1609958044,0.0,0.0,0,0
275,PAYMENT,8710.84,C700004572,27880.38,19169.54,M1954863849,0.0,0.0,0,0
185,PAYMENT,648.24,C1205354800,570.0,0.0,M21614728,0.0,0.0,0,0
225,TRANSFER,180533.95,C2095814290,0.0,0.0,C928212210,614415.17,794949.12,0,0
518,CASH_OUT,32235.88,C216678714,512231.0,479995.12,C810286972,118697.7,150933.58,0,0
205,CASH_IN,241795.49,C359011889,1097.0,242892.49,C1047356411,7409121.18,7167325.69,0,0
376,PAYMENT,10548.8,C953071448,363526.0,352977.2,M1480629045,0.0,0.0,0,0
139,CASH_OUT,177644.73,C547007279,74477.0,0.0,C1958735121,0.0,177644.73,0,0
402,PAYMENT,6762.64,C347979536,0.0,0.0,M1221281581,0.0,0.0,0,0
307,CASH_OUT,48502.66,C1779939392,0.0,0.0,C1996682216,4573782.82,4622285.48,0,0
307,PAYMENT,550.86,C1323451504,16056.0,15505.14,M562234216,0.0,0.0,0,0
15,PAYMENT,3597.92,C135559810,249402.07,245804.15,M1269421106,0.0,0.0,0,0
40,TRANSFER,65448.43,C973978171,0.0,0.0,C555461410,5081459.1,5146907.53,0,0
41,PAYMENT,652.77,C828543139,39842.0,39189.23,M1699865282,0.0,0.0,0,0
156,TRANSFER,472152.87,C91596383,0.0,0.0,C635378606,1018963.93,1491116.8,0,0
134,PAYMENT,4445.48,C1633388101,0.0,0.0,M1794679803,0.0,0.0,0,0
252,PAYMENT,24625.21,C341657247,0.0,0.0,M2034137705,0.0,0.0,0,0
331,CASH_IN,463290.14,C1251720498,7083673.75,7546963.9,C1468107129,1475205.89,1011915.75,0,0
180,CASH_IN,407834.96,C1262195238,671757.62,1079592.58,C1831133981,650962.82,243127.86,0,0
337,PAYMENT,4742.45,C1861651322,45703.0,40960.55,M1133674433,0.0,0.0,0,0
44,PAYMENT,7072.84,C1950333933,0.0,0.0,M20204425,0.0,0.0,0,0
213,PAYMENT,14304.56,C352973876,34277.0,19972.44,M1712296867,0.0,0.0,0,0
17,CASH_OUT,350614.28,C64321448,0.0,0.0,C718985478,8797698.15,9148312.43,0,0
34,CASH_OUT,59536.86,C1509935835,104530.0,44993.14,C996035587,1782602.61,1854012.53,0,0
154,PAYMENT,11376.06,C1725413377,254199.06,242823.0,M610740571,0.0,0.0,0,0
208,CASH_IN,46371.15,C2014167381,11011.0,57382.15,C1095473203,111313.36,64942.21,0,0
380,PAYMENT,8801.08,C860128234,9897.61,1096.53,M79589718,0.0,0.0,0,0
177,PAYMENT,33184.79,C2140473062,0.0,0.0,M535684857,0.0,0.0,0,0
309,PAYMENT,34995.88,C168133968,0.0,0.0,M1644715528,0.0,0.0,0,0
351,CASH_OUT,546046.16,C1648860603,40890.0,0.0,C29738808,2779758.93,3325805.09,0,0
1,TRANSFER,77957.68,C207471778,0.0,0.0,C1761291320,94900.0,22233.65,0,0
239,PAYMENT,6471.53,C1729171101,252048.0,245576.47,M983215221,0.0,0.0,0,0
34,PAYMENT,13228.61,C421750423,0.0,0.0,M1379135330,0.0,0.0,0,0
347,PAYMENT,14506.56,C372267610,0.0,0.0,M904491182,0.0,0.0,0,0
1,TRANSFER,125872.53,C1443967876,0.0,0.0,C392292416,348512.0,3420103.09,0,0
258,PAYMENT,12639.56,C1611664193,0.0,0.0,M1601763141,0.0,0.0,0,0
183,CASH_IN,24.59,C599316003,99718.0,99742.59,C1144591979,11994.53,11969.94,0,0
214,PAYMENT,1588.37,C1411211263,20268.0,18679.63,M1216233541,0.0,0.0,0,0
36,CASH_IN,70297.82,C607153766,1.327545336E7,1.334575118E7,C127813194,1085405.34,1015107.52,0,0
370,CASH_IN,472749.25,C2124812680,41274.0,514023.25,C1344466784,6991151.96,6518402.72,0,0
161,CASH_OUT,107393.18,C456571485,0.0,0.0,C1329589315,9412119.34,9519512.52,0,0
335,CASH_IN,280242.26,C1739941062,5411051.08,5691293.34,C1097727196,838818.88,558576.61,0,0
1,TRANSFER,367768.4,C288306765,0.0,0.0,C1359044626,370763.1,16518.36,0,0
11,PAYMENT,14727.67,C1120074687,59771.0,45043.33,M2038176744,0.0,0.0,0,0
256,CASH_OUT,166312.98,C919190971,160222.0,0.0,C370283614,206825.98,373138.96,0,0
38,PAYMENT,1166.35,C1544172518,0.0,0.0,M747756573,0.0,0.0,0,0
522,CASH_OUT,104782.57,C1332365535,20823.0,0.0,C1277124975,1209504.73,1314287.3,0,0
276,CASH_OUT,38479.23,C179688375,6310.0,0.0,C1687113053,0.0,38479.23,0,0
178,CASH_OUT,335550.39,C1571240823,64985.0,0.0,C1797691676,740189.17,1075739.56,0,0
205,PAYMENT,2040.92,C1761888845,0.0,0.0,M848995224,0.0,0.0,0,0
238,CASH_OUT,40462.46,C546737823,0.0,0.0,C1971511222,359381.22,399843.68,0,0
228,CASH_OUT,443857.16,C462756557,11960.0,0.0,C206005214,151656.38,595513.53,0,0
17,CASH_IN,75317.85,C2030706536,120.0,75437.85,C326180938,4987619.96,4912302.11,0,0
328,TRANSFER,1.0E7,C1278171752,839.0,0.0,C1221612796,518384.13,2.188137736E7,0,0
1,PAYMENT,1019.9,C1799230133,204237.0,203217.1,M1521238608,0.0,0.0,0,0
567,CASH_OUT,17697.97,C706908142,11642.0,0.0,C138850596,940255.82,957953.79,0,0
312,CASH_IN,43700.69,C1439915994,6557892.81,6601593.5,C1243385389,1325631.46,1281930.76,0,0
43,CASH_OUT,236416.05,C52099088,0.0,0.0,C833216571,1343680.03,1580096.08,0,0
40,PAYMENT,3684.02,C1039981458,0.0,0.0,M28176595,0.0,0.0,0,0
400,PAYMENT,8886.25,C2113593781,0.0,0.0,M14401258,0.0,0.0,0,0
402,PAYMENT,5038.37,C1564660280,0.0,0.0,M1512946600,0.0,0.0,0,0
34,TRANSFER,49127.82,C1972009931,23065.0,0.0,C1789260561,518921.85,568049.67,0,0
11,CASH_OUT,194722.82,C539285413,0.0,0.0,C920484824,1368714.31,1563437.12,0,0
379,PAYMENT,27228.48,C1040383975,117908.0,90679.52,M1367690851,0.0,0.0,0,0
692,CASH_OUT,266657.18,C825114841,517482.94,250825.76,C1309384645,730338.66,996995.84,0,0
301,PAYMENT,7189.28,C2034142290,0.0,0.0,M80895728,0.0,0.0,0,0
12,CASH_OUT,236054.75,C1811737892,568026.0,331971.25,C1450512920,0.0,236054.75,0,0
187,PAYMENT,24168.24,C1249277534,7050.0,0.0,M1520224863,0.0,0.0,0,0
182,TRANSFER,754129.92,C2052826787,0.0,0.0,C1819476732,3453920.24,4208050.15,0,0
12,CASH_IN,244637.16,C1448704832,20442.0,265079.16,C2108103747,3045290.33,3267798.79,0,0
405,CASH_OUT,154084.52,C1735161811,0.0,0.0,C1297457329,1032677.77,1186762.29,0,0
24,TRANSFER,98011.98,C785986810,279.0,0.0,C1908905506,0.0,98011.98,0,0
619,PAYMENT,1294.74,C2037146899,195204.03,193909.3,M1486629268,0.0,0.0,0,0
355,CASH_OUT,11743.96,C1494289824,0.0,0.0,C289461132,22180.07,33924.03,0,0
573,PAYMENT,121.04,C1809065069,6048.0,5926.96,M984162879,0.0,0.0,0,0
373,PAYMENT,13119.61,C1263201482,353371.29,340251.67,M762315509,0.0,0.0,0,0
592,CASH_OUT,157786.14,C1075008581,268052.21,110266.06,C1717568258,371691.67,529477.81,0,0
694,CASH_IN,162117.14,C418894495,5118.0,167235.14,C117333861,58050.1,0.0,0,0
350,TRANSFER,2150962.9,C294204450,405.0,0.0,C295206120,899347.93,3050310.82,0,0
139,CASH_IN,276621.48,C1716691848,5558.0,282179.48,C813110843,1564770.04,1136985.17,0,0
398,CASH_OUT,188633.63,C490244986,36556.0,0.0,C1239536670,80504.74,269138.36,0,0
133,CASH_IN,355046.38,C1264728208,727.0,355773.38,C1180920256,61666.0,0.0,0,0
211,TRANSFER,497651.69,C1942588837,2192.11,0.0,C1651724075,711978.13,1209629.82,0,0
251,CASH_IN,108419.74,C1355767666,6793883.71,6902303.45,C194588522,2215762.97,2107343.22,0,0
46,CASH_OUT,101685.94,C1616020146,0.0,0.0,C1673863450,2959070.57,3060756.52,0,0
13,TRANSFER,2080413.84,C1587790342,40625.0,0.0,C34496538,926757.04,3007170.88,0,0
347,CASH_IN,22895.42,C296228185,161439.0,184334.42,C1132611445,0.0,0.0,0,0
321,PAYMENT,499.2,C1549640905,0.0,0.0,M1369140070,0.0,0.0,0,0
323,CASH_IN,333147.98,C1903965950,1630.0,334777.98,C1036189540,80711.7,0.0,0,0
206,PAYMENT,11062.62,C1842535074,175730.87,164668.25,M954671844,0.0,0.0,0,0
19,CASH_OUT,270534.23,C160391667,8086.0,0.0,C734992931,165075.47,435609.7,0,0
206,CASH_OUT,51629.35,C492793867,114448.1,62818.74,C1732772067,70374.66,122004.02,0,0
201,CASH_OUT,136400.86,C1421527068,0.0,0.0,C761894394,230022.16,366423.02,0,0
544,PAYMENT,64506.9,C594081404,0.0,0.0,M1935017773,0.0,0.0,0,0
354,CASH_OUT,307753.35,C1330822278,117284.0,0.0,C935626093,10755.13,318508.48,0,0
595,CASH_IN,12761.51,C1723226352,900.0,13661.51,C2076207089,0.0,0.0,0,0
259,CASH_IN,157534.66,C970758591,7155532.81,7313067.46,C1888755337,643508.79,485974.14,0,0
157,PAYMENT,8448.19,C1510247428,354491.53,346043.34,M1975580881,0.0,0.0,0,0
140,PAYMENT,2050.93,C1005910010,84852.0,82801.07,M1732220595,0.0,0.0,0,0
306,CASH_IN,56756.95,C1126456726,2465829.83,2522586.79,C1046060663,704498.72,647741.77,0,0
204,PAYMENT,20134.63,C1766399630,0.0,0.0,M1315077431,0.0,0.0,0,0
131,CASH_IN,75720.93,C1571159913,342258.0,417978.93,C1873395173,0.0,0.0,0,0
15,CASH_OUT,397110.8,C223534691,82.0,0.0,C2087268437,8900.48,406011.28,0,0
162,CASH_IN,107234.15,C2010213925,114869.0,222103.15,C488047170,54041.72,0.0,0,0
264,PAYMENT,294.34,C64971746,11932.0,11637.66,M782937422,0.0,0.0,0,0
640,CASH_OUT,243883.33,C978258798,0.0,0.0,C858196969,1.138721025E7,1.163109358E7,0,0
138,CASH_IN,8385.76,C1664452051,102.0,8487.76,C533096209,467370.26,458984.5,0,0
19,CASH_OUT,213237.77,C1323983820,49395.0,0.0,C219673488,274228.0,28430.6,0,0
282,PAYMENT,2518.3,C1652831869,0.0,0.0,M1137453410,0.0,0.0,0,0
236,CASH_IN,204939.86,C505105653,11749.0,216688.86,C1048564488,19074.8,0.0,0,0
230,PAYMENT,17167.42,C1328105825,0.0,0.0,M457159295,0.0,0.0,0,0
163,CASH_OUT,183304.8,C1362775629,128411.0,0.0,C1477589544,0.0,183304.8,0,0
206,PAYMENT,3505.49,C2075313590,0.0,0.0,M195227091,0.0,0.0,0,0
138,CASH_IN,126501.09,C573056637,7949375.48,8075876.56,C90687922,3641540.87,3515039.79,0,0
207,TRANSFER,431366.79,C1072338927,6.0,0.0,C412584584,94017.36,525384.15,0,0
305,PAYMENT,671.66,C1638834976,11621.0,10949.34,M990307285,0.0,0.0,0,0
156,CASH_IN,9055.22,C208870424,6721128.86,6730184.07,C740776390,723753.86,714698.64,0,0
249,CASH_IN,221602.82,C1161055568,22745.0,244347.82,C750658498,241944.57,20341.74,0,0
20,CASH_OUT,87091.69,C174394526,50152.0,0.0,C1176423359,1032193.54,1119285.23,0,0
35,CASH_IN,108965.75,C583135297,3736120.96,3845086.71,C531593626,3868935.05,3759969.3,0,0
160,TRANSFER,272401.42,C21466791,0.0,0.0,C1372356244,3368876.83,3641278.25,0,0
348,CASH_IN,88992.06,C1011575967,1.689367457E7,1.698266663E7,C1208408938,263919.33,174927.27,0,0
227,CASH_IN,36750.24,C51609532,2285106.62,2321856.86,C945481527,1.200414026E7,1.196739002E7,0,0
383,CASH_IN,283045.82,C1668498696,8048077.66,8331123.48,C1593630027,317423.24,34377.42,0,0
306,PAYMENT,3431.5,C1949177921,102314.59,98883.09,M1909964206,0.0,0.0,0,0
302,PAYMENT,14206.71,C229060023,72293.0,58086.29,M1929213571,0.0,0.0,0,0
565,PAYMENT,4276.2,C268548443,185924.44,181648.24,M1467063311,0.0,0.0,0,0
134,CASH_OUT,559231.52,C714301538,0.0,0.0,C598690495,1380527.16,1939758.68,0,0
130,PAYMENT,19124.81,C1337768665,0.0,0.0,M1644936905,0.0,0.0,0,0
155,PAYMENT,539.87,C1856715129,0.0,0.0,M623812431,0.0,0.0,0,0
229,PAYMENT,11976.33,C71270985,0.0,0.0,M38976964,0.0,0.0,0,0
300,CASH_OUT,121764.2,C1641661661,0.0,0.0,C1443276157,812098.88,933863.08,0,0
159,CASH_IN,119123.79,C2125300531,1717387.44,1836511.24,C1786291008,5190406.74,5071282.95,0,0
375,CASH_OUT,388789.08,C617519905,12178.0,0.0,C2010139353,188425.23,577214.32,0,0
284,PAYMENT,7112.24,C1970228999,105752.81,98640.57,M1301849020,0.0,0.0,0,0
538,CASH_OUT,143043.13,C1355261265,10.0,0.0,C838195749,838334.72,981377.86,0,0
331,CASH_OUT,91525.35,C1941325189,73989.0,0.0,C1022802290,0.0,91525.35,0,0
357,PAYMENT,8845.32,C334505098,0.0,0.0,M392483272,0.0,0.0,0,0
308,CASH_IN,273805.04,C480003504,2195495.66,2469300.69,C1404900559,1313693.27,1039888.23,0,0
309,CASH_OUT,70483.05,C1527515266,0.0,0.0,C1654554075,540439.71,610922.76,0,0
17,CASH_OUT,72973.64,C771917493,505048.0,432074.36,C831467165,1.130366719E7,1.137664083E7,0,0
187,CASH_IN,182931.02,C20594508,4264246.89,4447177.91,C1433802916,1812291.56,1629360.54,0,0
229,CASH_OUT,421992.04,C784345690,0.0,0.0,C1203048265,482270.92,904262.96,0,0
24,PAYMENT,5531.39,C652310598,21919.0,16387.61,M1225492749,0.0,0.0,0,0
187,CASH_OUT,1697.13,C1825594892,0.0,0.0,C1879763280,186819.38,188516.52,0,0
41,CASH_OUT,147999.39,C1453910163,0.0,0.0,C2033992486,335987.45,483986.84,0,0
350,CASH_OUT,14859.04,C1288391545,0.0,0.0,C1865843471,367173.49,382032.53,0,0
156,DEBIT,227.54,C1071600717,24762.0,24534.46,C288461639,1571546.84,1571774.38,0,0
274,TRANSFER,89093.02,C479790537,0.0,0.0,C1756326918,141722.88,230815.9,0,0
305,CASH_OUT,193169.44,C1468252389,0.0,0.0,C1398896731,1916757.81,2109927.25,0,0
394,CASH_OUT,871.13,C902633248,0.0,0.0,C704145743,2681022.31,2681893.44,0,0
229,CASH_IN,22644.0,C1524403841,3284118.13,3306762.13,C1824914593,801042.25,928157.16,0,0
18,CASH_OUT,337571.66,C642124668,0.0,0.0,C388583042,3652370.82,4002359.68,0,0
228,TRANSFER,174215.73,C1339998057,0.0,0.0,C591340208,1522219.4,1696435.13,0,0
379,CASH_IN,256273.2,C645886173,1.83771919E7,1.863346511E7,C369117327,478417.44,222144.23,0,0
134,PAYMENT,24406.4,C549896806,500587.0,476180.6,M890454017,0.0,0.0,0,0
251,PAYMENT,34018.89,C1795382236,334473.01,300454.11,M1769984780,0.0,0.0,0,0
297,PAYMENT,9648.91,C1624662226,49525.0,39876.09,M2044582308,0.0,0.0,0,0
23,PAYMENT,7907.94,C612868717,10907.97,3000.03,M556385704,0.0,0.0,0,0
251,CASH_OUT,501107.25,C589583203,52082.0,0.0,C881658769,0.0,501107.25,0,0
212,PAYMENT,16804.49,C1374211040,196804.94,180000.46,M1003160362,0.0,0.0,0,0
238,PAYMENT,2825.54,C2095294881,9636.0,6810.46,M213708440,0.0,0.0,0,0
254,CASH_OUT,261178.85,C1725234803,15232.0,0.0,C920202281,166465.34,351705.59,0,0
138,CASH_IN,48105.77,C518774545,788593.34,836699.11,C2128917998,787684.49,739578.72,0,0
33,PAYMENT,9923.11,C320765363,5574.0,0.0,M1953072894,0.0,0.0,0,0
162,CASH_OUT,186985.63,C1752352020,0.0,0.0,C1713882496,534584.78,721570.41,0,0
137,CASH_OUT,206385.94,C567587524,62899.0,0.0,C1313595384,3550474.4,3756860.34,0,0
283,CASH_OUT,150515.98,C1044233448,0.0,0.0,C1466975618,2027696.74,2178212.71,0,0
373,CASH_OUT,42089.68,C827641736,0.0,0.0,C1394261320,4281116.95,4323206.63,0,0
157,PAYMENT,4020.98,C260779140,37403.0,33382.02,M1486093979,0.0,0.0,0,0
585,PAYMENT,3180.46,C2094242313,35890.95,32710.49,M889629545,0.0,0.0,0,0
236,PAYMENT,5187.44,C1303425650,187466.96,182279.52,M352189793,0.0,0.0,0,0
514,CASH_IN,97463.19,C341233300,31363.0,128826.19,C1886290199,301530.16,204066.98,0,0
204,CASH_OUT,35968.43,C273597655,0.0,0.0,C2109372715,493377.28,529345.71,0,0
546,PAYMENT,29249.61,C1702225125,21561.0,0.0,M196894694,0.0,0.0,0,0
566,TRANSFER,740168.0,C217468920,49660.0,0.0,C1405567771,0.0,740168.0,0,0
307,TRANSFER,698694.74,C1482406663,0.0,0.0,C189815973,1142138.16,1840832.9,0,0
42,PAYMENT,2455.16,C130426738,159711.19,157256.03,M1889281669,0.0,0.0,0,0
36,PAYMENT,16007.27,C83443198,830309.33,814302.06,M1154027051,0.0,0.0,0,0
397,CASH_OUT,320693.23,C1278477344,612844.0,292150.77,C1572559923,545431.76,866124.98,0,0
397,CASH_OUT,62875.43,C106022996,11202.0,0.0,C411710997,0.0,62875.43,0,0
35,PAYMENT,1403.86,C355852698,334484.98,333081.12,M809632957,0.0,0.0,0,0
252,CASH_OUT,211004.05,C964642948,124735.0,0.0,C1539796959,577993.82,788997.87,0,0
349,CASH_OUT,97936.8,C590476574,50545.0,0.0,C1470012963,23272.06,121208.85,0,0
157,CASH_OUT,606240.93,C1961337535,60472.0,0.0,C628648150,239893.17,846134.09,0,0
132,CASH_OUT,316144.24,C1617635824,0.0,0.0,C1033435092,2087671.92,2403816.16,0,0
279,CASH_OUT,202360.2,C564739283,0.0,0.0,C1815241622,1577524.67,1779884.87,0,0
351,CASH_OUT,126676.28,C1990390520,0.0,0.0,C1077567473,812163.46,938839.74,0,0
548,CASH_OUT,254915.32,C206283770,193958.12,0.0,C954045599,2803626.02,3058541.34,0,0
325,CASH_IN,148342.93,C226174204,5659452.41,5807795.34,C1274068955,221715.06,73372.13,0,0
37,CASH_OUT,393918.44,C65842049,51705.0,0.0,C1013148546,190329.81,584248.25,0,0
44,PAYMENT,2642.87,C719600758,49866.0,47223.13,M1832586058,0.0,0.0,0,0
260,CASH_IN,139216.41,C1794066722,206573.0,345789.41,C1161149159,506534.23,367317.82,0,0
237,PAYMENT,13768.92,C947517312,0.0,0.0,M315973893,0.0,0.0,0,0
24,CASH_IN,70181.96,C45558566,1263896.83,1334078.79,C483937874,251610.15,181428.2,0,0
19,TRANSFER,346753.17,C550269255,0.0,0.0,C780186551,3114489.76,3461242.93,0,0
310,PAYMENT,31286.51,C1335770749,0.0,0.0,M1280718965,0.0,0.0,0,0
403,CASH_OUT,146269.29,C433323798,45756.0,0.0,C1018405648,78170.76,224440.06,0,0
334,PAYMENT,18660.64,C1076954647,12042.0,0.0,M976593755,0.0,0.0,0,0
33,PAYMENT,7984.7,C237069915,462.0,0.0,M1816178161,0.0,0.0,0,0
132,PAYMENT,4991.0,C273702434,0.0,0.0,M161739532,0.0,0.0,0,0
299,TRANSFER,1822890.8,C1962690568,0.0,0.0,C1113476269,2854645.47,4677536.27,0,0
177,TRANSFER,979016.5,C164630987,0.0,0.0,C780079840,1.183584453E7,1.281486103E7,0,0
184,PAYMENT,6094.94,C1628709058,0.0,0.0,M36179689,0.0,0.0,0,0
17,CASH_OUT,426239.03,C2022539442,5006.0,0.0,C184595024,113553.72,539792.75,0,0
133,CASH_IN,84849.09,C1641835939,4768647.08,4853496.17,C915897142,336193.82,251344.72,0,0
12,PAYMENT,9707.15,C1545480199,0.0,0.0,M1191431174,0.0,0.0,0,0
382,CASH_OUT,244855.51,C1463569212,189553.12,0.0,C1318166024,3660413.5,3905269.02,0,0
302,CASH_IN,486.59,C1365484876,2841319.42,2841806.01,C2146748720,145984.94,145498.35,0,0
351,CASH_OUT,153503.19,C224159525,396374.0,242870.81,C1260913239,0.0,153503.19,0,0
164,CASH_OUT,365903.22,C969246767,0.0,0.0,C1921377465,1162032.07,1527935.29,0,0
355,PAYMENT,3591.19,C223389451,10314.0,6722.81,M2000255275,0.0,0.0,0,0
520,CASH_OUT,451021.97,C391917404,0.0,0.0,C1049502697,1116350.44,1567372.42,0,0
276,CASH_OUT,267157.85,C1403628217,180887.15,0.0,C1642629661,4784648.45,5051806.3,0,0
329,CASH_OUT,40570.93,C1606226800,0.0,0.0,C449052938,210984.88,251555.81,0,0
42,CASH_OUT,290444.11,C550705571,519216.03,228771.92,C756641526,375450.34,665894.46,0,0
167,PAYMENT,5061.26,C1530540676,27008.52,21947.25,M175448377,0.0,0.0,0,0
38,PAYMENT,5848.04,C571266736,1826355.94,1820507.91,M821097146,0.0,0.0,0,0
40,PAYMENT,14649.86,C1521282631,126150.0,111500.14,M1108371484,0.0,0.0,0,0
277,CASH_OUT,219067.95,C124376313,0.0,0.0,C1238674789,3841371.77,4060439.72,0,0
179,PAYMENT,2444.96,C453462848,0.0,0.0,M915019909,0.0,0.0,0,0
282,CASH_OUT,119139.96,C176066141,0.0,0.0,C1999142939,119390.62,238530.58,0,0
383,CASH_OUT,169545.41,C1477234074,0.0,0.0,C1120723259,3555503.05,3725048.47,0,0
408,CASH_IN,163072.87,C1206661994,1048487.96,1211560.83,C712064340,372754.01,209681.14,0,0
206,CASH_OUT,85695.17,C888813500,35938.0,0.0,C1687777568,58160.43,143855.6,0,0
136,PAYMENT,5950.36,C1707933043,0.0,0.0,M1552142269,0.0,0.0,0,0
325,PAYMENT,2986.92,C111906742,0.0,0.0,M312900042,0.0,0.0,0,0
492,CASH_IN,165766.92,C1972897315,7115940.55,7281707.47,C1583693010,1552866.39,1387099.47,0,0
155,CASH_OUT,281236.21,C1746013264,11399.0,0.0,C1300457888,2473567.41,2754803.62,0,0
1,PAYMENT,6113.14,C399373008,15629.0,9515.86,M391506011,0.0,0.0,0,0
34,PAYMENT,1530.48,C1487661424,203572.74,202042.25,M1892767834,0.0,0.0,0,0
205,PAYMENT,10110.94,C2098206848,192581.0,182470.06,M409281056,0.0,0.0,0,0
45,PAYMENT,68.68,C1216644135,15764.0,15695.32,M1524061811,0.0,0.0,0,0
205,CASH_OUT,71783.06,C1293135049,19117.0,0.0,C668856375,658638.56,730421.62,0,0
11,TRANSFER,203599.64,C1359450929,209874.0,6274.36,C873692561,0.0,254107.91,0,0
396,PAYMENT,65969.98,C459242014,0.0,0.0,M936412302,0.0,0.0,0,0
189,PAYMENT,3122.14,C859641987,6072.0,2949.86,M1064506979,0.0,0.0,0,0
